2026-09-09 14:04:16 | Отладка | Формирование отчёта | BuildPrompt | Модель: deepseek-chat; userMessage=12195 символов; весь запрос=14823
2026-09-09 14:04:16 | Отладка | Формирование отчёта | BuildPrompt | Блоки: block4=134; block5=470; block7=46; block8=420; block9=4594; block6=6382
2026-09-09 14:04:17 | Отладка | Формирование отчёта | BuildPrompt | Запрос к ИИ собран: 14823 символов
2026-09-09 14:04:17 | Отладка | Формирование отчёта | BuildPrompt | Тело запроса: {"model":"deepseek-chat","temperature":0.2,"response_format":{"type":"json_object"},"messages":[{"role":"system","content":"Ты ведущий аналитик данных. Проанализируй предоставленные агрегированные метрики использования планшетов в МТО (доля планшетов по дирекциям, ремзонам и синхронность). Сформируй краткие бизнес-выводы (до 4 предложений на каждый) для 7-ми слайдов. Ищи аномалии. Не используй данные, которых нет во входном JSON. ФИО сотрудников во входных данных заменены маркерами вида [EMP_12] - не изменяй и не склоняй маркеры, в выводах ссылайся на сотрудников только ими. Ответ строго в формате JSON с ключами slide1_conclusions … slide7_conclusions, без markdown-разметки вокруг JSON."},{"role":"user","content":"{\"block4_percent_by_direction\":[{\"row\":\"ДГМ\",\"week\":\"0\",\"total\":52520,\"tablet\":26126,\"pct\":0.497},{\"row\":\"ДЭНТ\",\"week\":\"0\",\"total\":52534,\"tablet\":25420,\"pct\":0.484}],\"block5_percent_by_post\":[{\"row\":\"ПРК\",\"week\":\"0\",\"total\":20080,\"tablet\":8436,\"pct\":0.420},{\"row\":\"СТК\",\"week\":\"0\",\"total\":50848,\"tablet\":34914,\"pct\":0.687},{\"row\":\"\",\"week\":\"0\",\"total\":16417,\"tablet\":5414,\"pct\":0.330},{\"row\":\"Ангар №1\",\"week\":\"0\",\"total\":15147,\"tablet\":1115,\"pct\":0.074},{\"row\":\"Планирование ТО\",\"week\":\"0\",\"total\":2220,\"tablet\":1641,\"pct\":0.739},{\"row\":\"Ангар №2\",\"week\":\"0\",\"total\":294,\"tablet\":18,\"pct\":0.061},{\"row\":\"Обмывная\",\"week\":\"0\",\"total\":48,\"tablet\":8,\"pct\":0.167}],\"block7_sync_by_week\":[{\"week\":\"0\",\"avg_hours\":0.000,\"pairs\":26188}],\"block8_sync_by_week_post\":[{\"week\":\"0\",\"post\":\"\",\"avg_hours\":0.000,\"pairs\":4102},{\"week\":\"0\",\"post\":\"Ангар №1\",\"avg_hours\":0.000,\"pairs\":3786},{\"week\":\"0\",\"post\":\"Ангар №2\",\"avg_hours\":0.000,\"pairs\":73},{\"week\":\"0\",\"post\":\"Обмывная\",\"avg_hours\":0.000,\"pairs\":12},{\"week\":\"0\",\"post\":\"Планирование ТО\",\"avg_hours\":0.000,\"pairs\":552},{\"week\":\"0\",\"post\":\"ПРК\",\"avg_hours\":0.000,\"pairs\":4986},{\"week\":\"0\",\"post\":\"СТК\",\"avg_hours\":0.000,\"pairs\":12677}],\"block9_defect_types\":[{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Электрооборудование\",\"count\":22840},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Ходовая часть / Управление / Тормозная система\",\"count\":21766},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"ДВС\",\"count\":18296},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"(Не используется) Иное\",\"count\":1486},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Спецоборудование\",\"count\":8538},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Целостность и внешний вид ТС и СТ/СНО\",\"count\":5722},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Кондиционер / отопитель\",\"count\":4268},{\"zn_type\":\"СТО4\",\"defekt_type\":\"\",\"count\":128},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Рабочее место / Органы управления спецоборудованием\",\"count\":4732},{\"zn_type\":\"СТО1\",\"defekt_type\":\"\",\"count\":1769},{\"zn_type\":\"ТО1\",\"defekt_type\":\"\",\"count\":5440},{\"zn_type\":\"ТО2\",\"defekt_type\":\"\",\"count\":2260},{\"zn_type\":\"СТО3\",\"defekt_type\":\"\",\"count\":388},{\"zn_type\":\"СТО2\",\"defekt_type\":\"\",\"count\":796},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Комплектация\",\"count\":552},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":910},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Сцепное устройство\",\"count\":726},{\"zn_type\":\"ТО3\",\"defekt_type\":\"\",\"count\":1351},{\"zn_type\":\"ТО4\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":54},{\"zn_type\":\"ТО4\",\"defekt_type\":\"\",\"count\":775},{\"zn_type\":\"ТО1\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":433},{\"zn_type\":\"ТО6\",\"defekt_type\":\"\",\"count\":66},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"\",\"count\":226},{\"zn_type\":\"СТО3\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":44},{\"zn_type\":\"ТО2\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":136},{\"zn_type\":\"ТО(ВЛП/ОЗП)\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":624},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Omnicomm\",\"count\":2},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Omnicomm\",\"count\":66},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Комплектация\",\"count\":10},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Целевой осмотр\",\"count\":12},{\"zn_type\":\"Внеплановый ремонт\",\"defekt_type\":\"Хлорирование\",\"count\":32},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Целостность и внешний вид ТС и СТ/СНО\",\"count\":4},{\"zn_type\":\"ТО5\",\"defekt_type\":\"\",\"count\":160},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Целевой осмотр\",\"count\":4},{\"zn_type\":\"СТО1\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":132},{\"zn_type\":\"СТО5\",\"defekt_type\":\"\",\"count\":44},{\"zn_type\":\"Omnicomm\",\"defekt_type\":\"Omnicomm\",\"count\":6},{\"zn_type\":\"ТО7\",\"defekt_type\":\"\",\"count\":4},{\"zn_type\":\"ТО9\",\"defekt_type\":\"\",\"count\":8},{\"zn_type\":\"СТО5\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":16},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"(Не используется) Иное\",\"count\":8},{\"zn_type\":\"ГТО Технический осмотр ТС/спецмашин\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":4},{\"zn_type\":\"ТО5\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":12},{\"zn_type\":\"ТО\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":2},{\"zn_type\":\"ТО3\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":90},{\"zn_type\":\"СТО1\",\"defekt_type\":\"Спецоборудование\",\"count\":4},{\"zn_type\":\"ТО6\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":4},{\"zn_type\":\"ТО3\",\"defekt_type\":\"Спецоборудование\",\"count\":4},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Спецоборудование\",\"count\":2},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Электрооборудование\",\"count\":6},{\"zn_type\":\"СТО2\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":36},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"ДВС\",\"count\":4},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Ходовая часть / Управление / Тормозная система\",\"count\":6},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Сцепное устройство\",\"count\":2},{\"zn_type\":\"ЧТО\",\"defekt_type\":\"ЧТО, ПТО, СТО, ТО, ОЗП, ВЛП\",\"count\":4},{\"zn_type\":\"СТО2\",\"defekt_type\":\"ДВС\",\"count\":8},{\"zn_type\":\"ГТО Технический осмотр ТС/спецмашин\",\"defekt_type\":\"\",\"count\":8},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"\",\"count\":2},{\"zn_type\":\"СТО1\",\"defekt_type\":\"Рабочее место / Органы управления спецоборудованием\",\"count\":4},{\"zn_type\":\"СТО2\",\"defekt_type\":\"Спецоборудование\",\"count\":4},{\"zn_type\":\"ТО2\",\"defekt_type\":\"ДВС\",\"count\":4},{\"zn_type\":\"Omnicomm\",\"defekt_type\":\"Спецоборудование\",\"count\":2},{\"zn_type\":\"СТО1\",\"defekt_type\":\"ДВС\",\"count\":4},{\"zn_type\":\"Обслуживание при выпуске\",\"defekt_type\":\"Рабочее место / Органы управления спецоборудованием\",\"count\":4}],\"block6_people\":[{\"emp\":\"[EMP_1]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_2]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_3]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_4]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_5]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_6]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_7]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_8]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_9]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_10]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_11]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_12]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_13]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_14]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_15]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_16]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_17]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_18]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_19]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_20]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_21]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_22]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_23]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_24]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_25]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_26]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_27]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_28]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_29]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_30]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_31]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_32]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_33]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_34]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_35]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_36]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_37]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_38]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_39]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_40]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_41]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_42]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_43]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_44]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_45]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_46]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_47]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_48]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_49]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_50]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_51]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_52]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_53]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_54]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_55]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_56]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_57]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_58]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_59]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_60]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_61]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_62]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_63]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_64]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_65]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_66]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_67]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_68]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_69]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_70]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_71]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_72]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_73]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_74]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_75]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_76]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_77]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_78]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_79]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_80]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_81]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_82]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_83]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_84]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_85]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_86]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_87]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_88]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_89]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_90]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_91]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_92]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_93]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_94]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_95]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_96]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_97]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_98]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_99]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_100]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_101]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_102]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0},{\"emp\":\"[EMP_103]\",\"pct_cur\":0.000,\"pct_prev\":0.000,\"signs\":0}]}"}]}
2026-09-09 14:04:17 | Отладка | Вызов внешнего ИИ | PostJSON | POST https://api.deepseek.com/chat/completions; тело: 14823 символов
2026-09-09 14:04:17 | Предупреждение | Вызов внешнего ИИ | https://api.deepseek.com/chat/completions | HTTP 401: Unauthorized
2026-09-09 14:04:17 | Отладка | Вызов внешнего ИИ | PostJSON | HTTP 401: Unauthorized
2026-09-09 14:04:18 | Отладка | Вызов внешнего ИИ | PostJSON | Тело ответа при HTTP-ошибке: Authentication Fails (governor)
2026-09-09 14:04:18 | Отладка | Формирование отчёта | DeepSeek | Ответ ИИ: 0 символов
2026-09-09 14:04:18 | Отладка | Формирование отчёта | DeepSeek | Начало ответа: 
2026-09-09 14:04:18 | Отладка | Формирование отчёта | ParseAIResponse | Ответ ИИ пуст - все выводы заменяются заглушками
